,order,species,adult_body_mass_g,adult_head_body_len_mm,home_range_km2,litter_size,habitat
4981,Afrosoricida,Amblysomus corriae,NA,NA,NA,NA,T
4982,Afrosoricida,Amblysomus hottentotus,62.6,121.49,0.000334208,1.86,T
4983,Afrosoricida,Amblysomus marleyi,NA,NA,NA,NA,T
4984,Afrosoricida,Amblysomus robustus,NA,NA,NA,NA,T
4985,Afrosoricida,Amblysomus septentrionalis,NA,NA,NA,NA,T
730,Afrosoricida,Calcochloris leucorhinus,NA,NA,NA,NA,T
731,Afrosoricida,Calcochloris obtusirostris,24.05,100.84,NA,2,T
732,Afrosoricida,Calcochloris tytonis,NA,NA,NA,NA,T
764,Afrosoricida,Carpitalpa arendsi,52.34,123.77,NA,NA,T
718,Afrosoricida,Chlorotalpa duthieae,NA,100.34,NA,2,T
858,Afrosoricida,Chlorotalpa sclateri,38.3,100,NA,2,T
879,Afrosoricida,Chrysochloris asiatica,37.16,106.5,NA,3.49,T
880,Afrosoricida,Chrysochloris stuhlmanni,55.76,129.14,NA,0.96,T
881,Afrosoricida,Chrysochloris visagiei,NA,106,NA,NA,T
883,Afrosoricida,Chrysospalax trevelyani,434.04,234.94,0.000602526,1.41,T
884,Afrosoricida,Chrysospalax villosus,108.35,150,NA,1.93,T
1024,Afrosoricida,Cryptochloris wintoni,NA,89.99,NA,NA,T
1025,Afrosoricida,Cryptochloris zyli,NA,84.85,NA,NA,T
1258,Afrosoricida,Echinops telfairi,152.25,160,NA,5.49,T
337,Afrosoricida,Eremitalpa granti,22.04,76.02,0.03,1.36,T
1333,Afrosoricida,Geogale aurita,6.69,71,NA,3.4,T
1591,Afrosoricida,Hemicentetes nigriceps,102.99,NA,NA,2.84,T
1592,Afrosoricida,Hemicentetes semispinosus,134,175,NA,5.32,T
2149,Afrosoricida,Limnogale mergulus,76.86,144.99,NA,2.73,T
2554,Afrosoricida,Microgale brevicaudata,8.99,NA,NA,4.5,T
2555,Afrosoricida,Microgale cowani,12.27,59.99,NA,NA,T
2556,Afrosoricida,Microgale dobsoni,36.66,NA,NA,2.66,T
2557,Afrosoricida,Microgale drouhardi,10.5,73.49,NA,NA,T
2558,Afrosoricida,Microgale dryas,40,NA,NA,NA,T
2559,Afrosoricida,Microgale fotsifotsy,7.7,72.45,NA,NA,T
2560,Afrosoricida,Microgale gracilis,23.3,NA,NA,NA,T
2561,Afrosoricida,Microgale gymnorhyncha,18.2,NA,NA,NA,T
2562,Afrosoricida,Microgale longicaudata,8.08,NA,NA,NA,T
2563,Afrosoricida,Microgale monticola,13.9,NA,NA,NA,T
2564,Afrosoricida,Microgale nasoloi,NA,NA,NA,NA,T
2565,Afrosoricida,Microgale parvula,3.53,56.8,NA,NA,T
2566,Afrosoricida,Microgale principula,10.2,NA,NA,NA,T
2567,Afrosoricida,Microgale pusilla,3.4,52,NA,NA,T
2568,Afrosoricida,Microgale soricoides,18.7,NA,NA,NA,T
2569,Afrosoricida,Microgale taiva,12.4,NA,NA,NA,T
2570,Afrosoricida,Microgale talazaci,43.07,150,NA,2.23,T
2571,Afrosoricida,Microgale thomasi,22.9,NA,NA,NA,T
2588,Afrosoricida,Micropotamogale lamottei,69.59,160,NA,3.86,T
2589,Afrosoricida,Micropotamogale ruwenzorii,109.13,160,NA,1.86,T
2880,Afrosoricida,Neamblysomus gunningi,NA,123.77,NA,NA,T
2881,Afrosoricida,Neamblysomus julianae,21.99,100.84,NA,0.96,T
3245,Afrosoricida,Oryzorictes hova,35.74,103.33,NA,NA,T
3246,Afrosoricida,Oryzorictes tetradactylus,35.99,107.5,NA,NA,T
3816,Afrosoricida,Potamogale velox,670.99,320,NA,2.5,T
4402,Afrosoricida,Setifer setosus,263.22,185,NA,3.24,T
5153,Afrosoricida,Tenrec ecaudatus,887.59,327.5,NA,16.89,T
4564,Artiodactyla,Addax nasomaculatus,96077.36,NA,NA,1,T
4524,Artiodactyla,Aepyceros melampus,52591.69,1420,1.97,0.98,T
4935,Artiodactyla,Alcelaphus buselaphus,160937.86,1974.99,2.73,1,T
4936,Artiodactyla,Alcelaphus caama,176115.97,NA,NA,NA,T
4937,Artiodactyla,Alcelaphus lichtensteinii,168695.66,NA,4.41,0.98,T
4938,Artiodactyla,Alces alces,461900.76,2930.47,71.75,1.25,T
4939,Artiodactyla,Alces americanus,541460.44,2097.16,NA,1,T
4988,Artiodactyla,Ammodorcas clarkei,28049.81,1509.96,NA,1,T
4994,Artiodactyla,Ammotragus lervia,94202.22,1449.99,7.06,1.22,T
5030,Artiodactyla,Antidorcas marsupialis,33571.24,1055,NA,1,T
5031,Artiodactyla,Antilocapra americana,47450.01,1310,8.05,1.93,T
5032,Artiodactyla,Antilope cervicapra,36301.1,1250,0.62,1.22,T
130,Artiodactyla,Axis axis,69499.99,NA,0.67,1.01,T
131,Artiodactyla,Axis calamianensis,39812.6,1387.44,NA,2,T
132,Artiodactyla,Axis kuhlii,54999.99,1375,NA,1.22,T
133,Artiodactyla,Axis porcinus,37448.29,NA,0.52,1,T
134,Artiodactyla,Babyrousa babyrussa,92950.09,950,NA,1.73,T
135,Artiodactyla,Babyrousa bolabatuensis,NA,NA,NA,NA,T
136,Artiodactyla,Babyrousa celebensis,NA,NA,NA,NA,T
389,Artiodactyla,Babyrousa togeanensis,NA,NA,NA,NA,T
624,Artiodactyla,Beatragus hunteri,79132.17,1600,NA,1,T
380,Artiodactyla,Bison bison,624577.07,2849.24,47.39,0.98,T
381,Artiodactyla,Bison bonasus,675876.7,2900,7.91,1,T
401,Artiodactyla,Blastocerus dichotomus,112518.53,1720,NA,0.98,T
6,Artiodactyla,Bos frontalis,800143.05,2700,NA,1.22,T
7,Artiodactyla,Bos grunniens,5.00E+05,NA,NA,1,T
8,Artiodactyla,Bos javanicus,635974.34,2075,NA,1.22,T
25,Artiodactyla,Bos sauveli,791321.76,2175,NA,NA,T
26,Artiodactyla,Bos taurus,618642.42,NA,10.04,NA,T
27,Artiodactyla,Boselaphus tragocamelus,182253.04,2000,NA,1.39,T
651,Artiodactyla,Bubalus bubalis,929500.97,2649.52,3.63,1.5,T
652,Artiodactyla,Bubalus depressicornis,256989.27,1728.58,NA,1,T
653,Artiodactyla,Bubalus mindorensis,254389.74,2199.99,NA,1,T
654,Artiodactyla,Bubalus quarlesi,181718.86,1577.97,NA,1,T
655,Artiodactyla,Budorcas taxicolor,294515.33,1736,NA,1.22,T
24,Artiodactyla,Camelus bactrianus,554515.91,NA,NA,1.39,T
1,Artiodactyla,Camelus dromedarius,492714.47,NA,196.32,0.98,T
34,Artiodactyla,Capra caucasica,58149.52,NA,NA,1.09,T
35,Artiodactyla,Capra falconeri,54303.37,1590,NA,1.73,T
36,Artiodactyla,Capra hircus,47386.47,NA,98.3,1.45,T
37,Artiodactyla,Capra ibex,69546.83,NA,NA,1.11,T
740,Artiodactyla,Capra nubiana,47763.72,NA,NA,1,T
741,Artiodactyla,Capra pyrenaica,60898.77,1200,0.64,1.5,T
742,Artiodactyla,Capra sibirica,130000,NA,NA,NA,T
743,Artiodactyla,Capra walie,100144.02,NA,NA,1,T
744,Artiodactyla,Capreolus capreolus,22502.01,NA,0.52,1.79,T
745,Artiodactyla,Capreolus pygargus,41371.03,1320,0.99,2,T
746,Artiodactyla,Capricornis crispus,43030.64,NA,0.11,1,T
747,Artiodactyla,Capricornis milneedwardsii,NA,NA,NA,NA,T
748,Artiodactyla,Capricornis rubidus,NA,NA,NA,NA,T
749,Artiodactyla,Capricornis sumatraensis,110942.22,1449.99,NA,1.22,T
750,Artiodactyla,Capricornis swinhoei,NA,NA,NA,NA,T
751,Artiodactyla,Capricornis thar,NA,NA,NA,NA,T
773,Artiodactyla,Catagonus wagneri,35566.4,1025.93,7,2.47,T
793,Artiodactyla,Cephalophus adersi,9249.95,690,NA,1,T
794,Artiodactyla,Cephalophus brookei,NA,NA,NA,NA,T
795,Artiodactyla,Cephalophus callipygus,19079.23,1014.28,0.32,NA,T
416,Artiodactyla,Cephalophus dorsalis,20000,849.99,0.27,1,T
417,Artiodactyla,Cephalophus jentinki,68489.54,1349.99,NA,1,T
418,Artiodactyla,Cephalophus leucogaster,13208.69,939.32,NA,1,T
419,Artiodactyla,Cephalophus natalensis,12724.51,786.14,0.06,1,T
145,Artiodactyla,Cephalophus niger,19094.32,1041.8,NA,1,T
146,Artiodactyla,Cephalophus nigrifrons,14676.33,944.21,NA,NA,T
147,Artiodactyla,Cephalophus ogilbyi,18386.42,1000,0.07,1,T
148,Artiodactyla,Cephalophus rufilatus,12114.57,650,NA,1,T
149,Artiodactyla,Cephalophus silvicultor,62006.6,1324.76,NA,1,T
150,Artiodactyla,Cephalophus spadix,56857.02,1174.48,NA,NA,T
151,Artiodactyla,Cephalophus weynsi,NA,NA,NA,NA,T
152,Artiodactyla,Cephalophus zebra,15654.75,874.99,NA,1,T
194,Artiodactyla,Cervus elaphus,240867.13,2136.72,58.42,1.09,T
195,Artiodactyla,Cervus nippon,52999.99,1200.51,1.43,1,T
917,Artiodactyla,Connochaetes gnou,156547.53,1821.79,0.95,1,T
960,Artiodactyla,Connochaetes taurinus,198619.68,2014.99,NA,0.98,T
1166,Artiodactyla,Dama dama,57224.61,NA,0.71,1,T
1167,Artiodactyla,Damaliscus korrigum,127194.87,NA,NA,NA,T
1168,Artiodactyla,Damaliscus lunatus,136000.33,1700,NA,0.98,T
1169,Artiodactyla,Damaliscus pygargus,77784.55,NA,NA,1.41,T
1170,Artiodactyla,Damaliscus superstes,NA,NA,NA,NA,T
1232,Artiodactyla,Dorcatragus megalotis,10918.12,779.98,NA,1,T
1271,Artiodactyla,Elaphodus cephalophus,23087.87,NA,NA,1,T
1272,Artiodactyla,Elaphurus davidianus,165989.17,NA,NA,1.22,T
1380,Artiodactyla,Eudorcas rufifrons,26999.77,885,NA,1,T
556,Artiodactyla,Eudorcas rufina,39999.99,NA,NA,NA,T
557,Artiodactyla,Eudorcas thomsonii,22907.43,885,NA,1,T
587,Artiodactyla,Gazella arabica,24124.67,1000,NA,1.5,T
588,Artiodactyla,Gazella bennettii,18916.67,NA,NA,NA,T
589,Artiodactyla,Gazella cuvieri,NA,NA,NA,NA,T
590,Artiodactyla,Gazella dorcas,15635.95,965.68,15.52,1.22,T
591,Artiodactyla,Gazella erlangeri,NA,NA,NA,NA,T
592,Artiodactyla,Gazella gazella,21306.83,1012.85,1.46,1.22,T
593,Artiodactyla,Gazella leptoceros,24645.75,1032.67,NA,1,T
594,Artiodactyla,Gazella saudiya,16000,NA,NA,NA,T
595,Artiodactyla,Gazella spekei,20000,885,NA,1,T
596,Artiodactyla,Gazella subgutturosa,26981.37,957.35,NA,1.39,T
1496,Artiodactyla,Giraffa camelopardalis,964654.73,4177.03,81.52,1.29,T
1596,Artiodactyla,Hemitragus hylocrius,74186.41,1385,NA,1.41,T
1597,Artiodactyla,Hemitragus jayakari,22210.18,1075,NA,1,T
1598,Artiodactyla,Hemitragus jemlahicus,68616.43,NA,NA,1.01,T
1603,Artiodactyla,Hexaprotodon liberiensis,235001.16,1600,0.72,1,T
1605,Artiodactyla,Hippocamelus antisensis,68599.35,1550,NA,1,T
1606,Artiodactyla,Hippocamelus bisulcus,69240.81,1550,0.86,1,T
1607,Artiodactyla,Hippopotamus amphibius,1536310.4,NA,NA,1,T
1675,Artiodactyla,Hippotragus equinus,264173.96,1150,NA,0.98,T
1676,Artiodactyla,Hippotragus leucophaeus,149999.99,NA,NA,NA,T
1677,Artiodactyla,Hippotragus niger,236405.9,2035,NA,1,T
1709,Artiodactyla,Hydropotes inermis,12760.04,NA,NA,3,T
1711,Artiodactyla,Hyemoschus aquaticus,10850,750,0.2,1.22,T
1776,Artiodactyla,Hylochoerus meinertzhageni,198130.47,2028.75,NA,4,T
1878,Artiodactyla,Kobus ellipsiprymnus,204393.48,NA,1.28,1,T
1879,Artiodactyla,Kobus kob,80035.21,1700,99.57,1,T
1880,Artiodactyla,Kobus leche,88645.04,NA,NA,1,T
1881,Artiodactyla,Kobus megaceros,85805.93,NA,NA,NA,T
1882,Artiodactyla,Kobus vardonii,71462.72,1340,NA,1,T
554,Artiodactyla,Lama glama,78322.67,1595.1,NA,1,T
2162,Artiodactyla,Litocranius walleri,38804.37,1500,NA,1,T
2311,Artiodactyla,Madoqua guentheri,4623.7,612.07,0.03,0.98,T
2312,Artiodactyla,Madoqua kirkii,4833.4,654.27,NA,0.98,T
2313,Artiodactyla,Madoqua piacentinii,2500,NA,NA,1,T
2314,Artiodactyla,Madoqua saltiana,3424.47,595,NA,1,T
2373,Artiodactyla,Mazama americana,20546.86,NA,NA,1.22,T
2374,Artiodactyla,Mazama bororo,NA,NA,NA,NA,T
2375,Artiodactyla,Mazama bricenii,16499.85,NA,NA,NA,T
2376,Artiodactyla,Mazama chunyi,16071.74,NA,NA,1.5,T
2377,Artiodactyla,Mazama gouazoubira,16633.17,918.25,NA,1,T
2378,Artiodactyla,Mazama nana,16499.85,NA,NA,NA,T
2379,Artiodactyla,Mazama pandora,NA,NA,NA,NA,T
2380,Artiodactyla,Mazama rufina,21099.25,NA,NA,1.22,T
2381,Artiodactyla,Mazama temama,NA,NA,NA,NA,T
2018,Artiodactyla,Moschiola meminna,3130.95,540,NA,1.5,T
2019,Artiodactyla,Moschus anhuiensis,NA,NA,NA,NA,T
2020,Artiodactyla,Moschus berezovskii,12477.41,899.99,0.13,1.2,T
2021,Artiodactyla,Moschus chrysogaster,13697.9,899.99,0.13,1.2,T
2022,Artiodactyla,Moschus cupreus,NA,NA,NA,NA,T
2023,Artiodactyla,Moschus fuscus,13697.9,899.99,0.13,NA,T
2024,Artiodactyla,Moschus leucogaster,NA,NA,NA,NA,T
2025,Artiodactyla,Moschus moschiferus,13315.57,899.99,0.13,1.74,T
2030,Artiodactyla,Muntiacus atherodes,18939.1,994.99,NA,NA,T
2031,Artiodactyla,Muntiacus crinifrons,18590.01,NA,NA,1,T
2488,Artiodactyla,Muntiacus feae,21999.99,NA,NA,1.22,T
2489,Artiodactyla,Muntiacus gongshanensis,18590.01,NA,NA,NA,T
2490,Artiodactyla,Muntiacus muntjak,17611.59,994.99,NA,1,T
2491,Artiodactyla,Muntiacus puhoatensis,NA,NA,NA,NA,T
2492,Artiodactyla,Muntiacus putaoensis,NA,NA,NA,NA,T
2493,Artiodactyla,Muntiacus reevesi,13499.94,NA,0.12,0.98,T
2494,Artiodactyla,Muntiacus rooseveltorum,10762.64,NA,NA,1,T
2495,Artiodactyla,Muntiacus truongsonensis,NA,NA,NA,NA,T
2496,Artiodactyla,Muntiacus vuquangensis,36690.82,NA,NA,NA,T
2642,Artiodactyla,Naemorhedus baileyi,28863.45,1040,NA,1.5,T
2643,Artiodactyla,Naemorhedus caudatus,26999.99,NA,NA,NA,T
2644,Artiodactyla,Naemorhedus goral,28796.51,1060,NA,1,T
2645,Artiodactyla,Naemorhedus griseus,NA,NA,NA,NA,T
2857,Artiodactyla,Nanger dama,71424.81,1462.78,NA,1,T
2858,Artiodactyla,Nanger granti,55464.46,1529.99,NA,1,T
2859,Artiodactyla,Nanger soemmerringii,41582.93,1360,NA,1,T
3044,Artiodactyla,Neotragus batesi,2967.45,540,NA,1,T
3045,Artiodactyla,Neotragus moschatus,5639.01,599.99,NA,1,T
3046,Artiodactyla,Neotragus pygmaeus,3913.68,499.99,NA,1,T
3199,Artiodactyla,Odocoileus hemionus,84560.57,1516.5,2.01,1.61,T
3200,Artiodactyla,Odocoileus virginianus,75901.25,1513.69,1.99,1.57,T
2982,Artiodactyla,Okapia johnstoni,230001.14,2000,4.63,0.98,T
3209,Artiodactyla,Oreamnos americanus,72105.4,1297.33,18.17,1.4,T
3211,Artiodactyla,Oreotragus oreotragus,13486.55,824.99,NA,0.98,T
3226,Artiodactyla,Oryx beisa,200576.52,NA,NA,NA,T
3227,Artiodactyla,Oryx dammah,199798.95,1910,NA,1,T
3228,Artiodactyla,Oryx gazella,188404.45,1615,NA,1,T
3229,Artiodactyla,Oryx leucoryx,75788.24,NA,NA,1,T
3283,Artiodactyla,Ourebia ourebi,17186.09,1160,NA,0.98,T
3284,Artiodactyla,Ovibos moschatus,312500,NA,NA,1.01,T
3285,Artiodactyla,Ovis ammon,113998.72,1585,4.59,1.22,T
3286,Artiodactyla,Ovis aries,39097.89,1297.23,NA,1.19,T
3287,Artiodactyla,Ovis canadensis,74644.87,1565.5,18.94,1.16,T
3288,Artiodactyla,Ovis dalli,70194.13,1415.02,10.15,1.22,T
3289,Artiodactyla,Ovis nivicola,90000,NA,NA,1,T
3306,Artiodactyla,Ozotoceros bezoarticus,34620.4,1224.74,6.16,1,T
3333,Artiodactyla,Pantholops hodgsonii,32733.12,NA,NA,1,T
3392,Artiodactyla,Pecari tajacu,21133.69,889.34,1.37,1.56,T
2962,Artiodactyla,Pelea capreolus,22731.33,NA,NA,1,T
